pid,ae01,ae02,ae03,ae04,ae05,ae06,ae07,ae08,ae09,ae10,ep01,ep02,ep03,ep04,ep05,ep06,ep07,ep08,ep09,ep10,am1,am2,am3,am4,am5,ap1,ap2,ap3,ap4,ap5,ac1,ac2,ac3,ac4,ac5,educprop,educingr,edad,nohijos,relig,mapu
1,2,5,5,4,2,4,4,4,5,4,2,2,2,4,2,1,2,4,4,2,5,5,4,4,2,5,4,5,5,5,5,5,5,2,4,3,3,23,1,2,2
4,4,4,5,5,4,4,4,5,1,2,2,4,1,2,2,3,3,3,2,3,5,4,5,5,3,3,2,2,2,4,4,4,4,4,2,3,3,20,3,3,1
7,4,4,3,4,3,4,4,4,4,3,4,4,4,4,4,2,2,3,3,3,5,4,4,3,5,5,4,3,4,3,4,4,4,3,3,3,2,38,2,1,1
8,5,5,5,5,5,5,4,5,5,5,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,33,2,2,1
10,1,3,5,5,5,5,5,5,5,5,1,5,1,5,5,1,5,1,5,3,5,3,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,26,1,2,2
11,5,5,5,4,3,5,5,5,5,5,3,1,3,1,1,1,1,1,1,1,5,5,5,5,5,5,5,4,4,5,4,5,5,4,4,5,3,24,2,1,1
12,2,2,5,5,5,5,5,5,5,5,2,3,1,1,1,1,1,3,4,3,5,5,5,5,5,5,5,3,4,5,3,5,5,5,3,4,3,20,1,2,2
13,5,5,5,4,4,4,4,4,5,4,2,5,2,2,2,2,1,1,4,2,5,5,5,4,2,5,5,5,5,5,4,4,4,4,4,5,3,23,1,2,2
14,2,5,5,5,5,5,5,5,5,4,2,2,1,3,2,1,2,3,4,2,5,4,5,5,5,5,4,5,4,5,4,4,3,3,3,3,3,22,1,2,1
15,4,4,4,4,4,4,4,5,5,5,2,5,4,4,2,3,2,3,3,2,4,4,4,5,5,4,4,4,3,5,5,5,5,4,5,3,3,33,3,3,2
